rank_data,instance_id,axis,qerr_data,plan_change_data,x1_data,x2_data,source_root_data,source_label_data,rank_selectivity,qerr_selectivity,plan_change_selectivity,x1_selectivity,x2_selectivity,source_root_selectivity,source_label_selectivity,qerr_delta,qerr_ratio,prefer,absolute_improvement,relative_improvement,plan_change_agreement
1,153,2,1057.312500,True,7555.733333,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,3,1.406982,True,7270.635000,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,1055.905518,751.475329,selectivity-space sampling,1055.905518,750.475329,True
2,162,2,1039.869822,True,8777.726667,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,5,1.381203,True,8347.116500,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,1038.488619,752.872370,selectivity-space sampling,1038.488619,751.872370,True
3,171,2,1002.735632,True,9999.720000,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,2,1.459791,True,9449.346500,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,1001.275842,686.903793,selectivity-space sampling,1001.275842,685.903793,True
4,126,2,785.517442,True,3889.753333,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,73,1.133871,True,3963.788000,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,784.383571,692.775118,selectivity-space sampling,784.383571,691.775118,True
5,135,2,698.584158,True,5111.746667,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,57,1.162286,True,5091.417000,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,697.421872,601.043064,selectivity-space sampling,697.421872,600.043064,True
6,144,2,684.482759,True,6333.740000,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,6,1.374376,True,6136.231500,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,683.108382,498.031613,selectivity-space sampling,683.108382,497.031613,True
7,108,2,653.274725,True,1445.766667,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,174,1.009018,True,1770.717500,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,652.265707,647.435948,selectivity-space sampling,652.265707,646.435948,True
8,99,2,490.577114,True,223.773333,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,164,1.015397,True,654.570500,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,489.561718,483.138368,selectivity-space sampling,489.561718,482.138368,True
9,117,2,219.667864,True,2667.760000,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,37,1.203354,True,2890.214500,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,218.464510,182.546349,selectivity-space sampling,218.464510,181.546349,True
10,5,1,44.981240,True,223.773333,58705.722222,gt_results_sf1_qt8_10x10_m0,data-space sampling,20,1.256387,True,654.570500,40321.260000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,43.724853,35.802047,selectivity-space sampling,43.724853,34.802047,True
11,3,1,43.755635,True,223.773333,35583.833333,gt_results_sf1_qt8_10x10_m0,data-space sampling,94,1.100583,True,654.570500,25930.880000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,42.655052,39.756782,selectivity-space sampling,42.655052,38.756782,True
12,2,1,41.625698,True,223.773333,24022.888889,gt_results_sf1_qt8_10x10_m0,data-space sampling,149,1.034901,True,654.570500,18739.100000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,40.590798,40.221923,selectivity-space sampling,40.590798,39.221923,True
13,4,1,41.519753,True,223.773333,47144.777778,gt_results_sf1_qt8_10x10_m0,data-space sampling,65,1.144292,True,654.570500,33132.840000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,40.375461,36.284229,selectivity-space sampling,40.375461,35.284229,True
14,1,1,40.595307,True,223.773333,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,159,1.021153,True,654.570500,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,39.574154,39.754381,selectivity-space sampling,39.574154,38.754381,True
15,8,1,39.156335,True,223.773333,93388.555556,gt_results_sf1_qt8_10x10_m0,data-space sampling,48,1.177708,True,654.570500,64719.730000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,37.978627,33.247923,selectivity-space sampling,37.978627,32.247923,True
16,6,1,37.523930,True,223.773333,70266.666667,gt_results_sf1_qt8_10x10_m0,data-space sampling,16,1.288125,True,654.570500,47521.750000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,36.235805,29.130653,selectivity-space sampling,36.235805,28.130653,True
17,9,1,35.719106,True,223.773333,104949.500000,gt_results_sf1_qt8_10x10_m0,data-space sampling,15,1.294632,True,654.570500,79511.310000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,34.424474,27.590159,selectivity-space sampling,34.424474,26.590159,True
18,7,1,34.261665,True,223.773333,81827.611111,gt_results_sf1_qt8_10x10_m0,data-space sampling,13,1.300885,True,654.570500,55158.940000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,32.960780,26.337190,selectivity-space sampling,32.960780,25.337190,True
19,90,2,8.233898,True,-998.220000,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,172,1.010943,True,-453.163000,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,7.222956,8.144773,selectivity-space sampling,7.222956,7.144773,True
20,30,1,3.238372,False,3889.753333,901.000000,gt_results_sf1_qt8_10x10_m0,data-space sampling,112,1.077527,False,3963.788000,4285.170000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,2.160845,3.005374,selectivity-space sampling,2.160845,2.005374,True
21,20,1,3.060440,False,2667.760000,901.000000,gt_results_sf1_qt8_10x10_m0,data-space sampling,161,1.018247,False,2890.214500,4285.170000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,2.042192,3.005595,selectivity-space sampling,2.042192,2.005595,True
22,0,1,1.467662,True,223.773333,901.000000,gt_results_sf1_qt8_10x10_m0,data-space sampling,152,1.025652,True,654.570500,4285.170000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.442010,1.430955,selectivity-space sampling,0.442010,0.430955,True
23,60,1,1.450000,False,7555.733333,901.000000,gt_results_sf1_qt8_10x10_m0,data-space sampling,137,1.050337,False,7270.635000,4285.170000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.399663,1.380510,selectivity-space sampling,0.399663,0.380510,True
24,172,2,1.384351,False,9999.720000,24022.888889,gt_results_sf1_qt8_10x10_m0,data-space sampling,9,1.325198,False,9449.346500,18739.100000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.059153,1.044637,selectivity-space sampling,0.059153,0.044637,True
25,17,1,1.380014,False,1445.766667,81827.611111,gt_results_sf1_qt8_10x10_m0,data-space sampling,10,1.318665,False,1770.717500,55158.940000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.061349,1.046524,selectivity-space sampling,0.061349,0.046524,True
26,163,2,1.374478,True,8777.726667,24022.888889,gt_results_sf1_qt8_10x10_m0,data-space sampling,26,1.249100,True,8347.116500,18739.100000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.125378,1.100375,selectivity-space sampling,0.125378,0.100375,True
27,136,2,1.342319,False,5111.746667,24022.888889,gt_results_sf1_qt8_10x10_m0,data-space sampling,27,1.236755,False,5091.417000,18739.100000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.105564,1.085355,selectivity-space sampling,0.105564,0.085355,True
